"entrp_nm","load_addr","city_do_cd","city_gn_gu_cd","xpos_lo","ypos_la","area_nm","homepage_url","tel_no","reprsnt_menu_nm","menu_pc","base_ymd","id","naver_place_url","business_hours","naver_place_menu","naver_thumb_url"
"52블럭",강원 강릉시 정원로 52 유성빌딩 1층,"42","42150",128.876225,37.762445,강원,https://www.instagram.com/52block_bread_coffee/,"033-646-1944",올리브치아바타,"3500원","2019-12-09",17,https://m.place.naver.com/restaurant/38482509,목요일 07:00 - 18:00 빵소진시 매장은 마감됩니다.|금요일 07:00 - 18:00 빵소진시 매장은 마감됩니다.|토요일 07:00 - 18:00 빵소진시 매장은 마감됩니다.|일요일 07:00 - 18:00 빵소진시 매장은 마감됩니다.|수요일 07:00 - 18:00 빵소진시 매장은 마감됩니다.,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190610_185%2F15601225479727zk1O_JPEG%2FeoWTjjGcetjKcYcFPdu50O_k.jpg
대게빵,강원 강릉시 주문진읍 시장길 59,"42","42150",128.827653,37.89292,강원,"","010-3505-2575",호두대게빵,"2000원","2019-12-09",18,https://m.place.naver.com/place/1740691681,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAyMTVfMTY1%2FMDAxNjEzMzc5NDMzODgy.69dZH80ZvthgwdXgquQYLR6oJOdCbnTypPPUEMfxaDsg.fs5ej68aVr1_DRmhTLYJHDA9ZSD3mU4uZdN-ZxhndZEg.JPEG.bakjoyon%2F20210213_135356.jpg
앙빵,강원 강릉시 창해로 307,"42","42150",128.920939,37.791477,강원,https://stjohns.co.kr/view/viewLink.do?page=homepage/KOR/diningBar/lounge,"033-660-9532",베이커리,"","2019-12-09",19,https://m.place.naver.com/place/1509000036,목요일 08:00 - 20:00|금요일 08:00 - 22:00|토요일 08:00 - 22:00|일요일 08:00 - 20:00 (Last Order 19:30)|월요일 08:00 - 20:00|화요일 08:00 - 20:00|수요일 08:00 - 20:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180928_209%2F1538094250967ylA5T_JPEG%2FsUTeBMZPPJzOx62MKQ3ZLYKU.jpg
에이엠브래드앤커피,강원 강릉시 창해로14번길 24,"42","42150",128.947535,37.772354,강원,http://www.facebook.com/ambreadandcoffee,"033-655-2200",크림치즈 치아바타,"4800원","2019-12-09",20,https://m.place.naver.com/restaurant/34203501,매일 09:00 - 24:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190109_47%2F1546965092029OdVgi_JPEG%2FyDRlH8Ogv0t8IFJe7K3JB4R_.JPG.jpg
마시와,강원 강릉시 창해로350번길 19 마시와 본점,"42","42150",128.917654,37.795801,강원,"","033-661-4311",먹물아이스크림빵,"4000원","2019-12-09",21,https://m.place.naver.com/place/35202135,매일 10:00 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_31%2F1545443382625Lsznj_JPEG%2Ft9ZOLezNA0SQDzrIF9uhOL6g.jpeg.jpg
손병욱베이커리,강원 강릉시 토성로 157,"42","42150",128.893599,37.755638,강원,https://blog.naver.com/sbwbakery,"033-646-8484",카스텔라류,"3500-7500원","2019-12-09",22,https://m.place.naver.com/restaurant/15291439,매일 07:30 - 23:30 연중무휴,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161008_237%2F1475885915159kicfR_JPEG%2F176958494854502_0.jpeg
Your Bread,강원 강릉시 화부산로40번길 29,"42","42150",128.888345,37.766166,강원,https://www.instagram.com/yourbread_/,"",먹물크림치즈유자빵,"4000원","2019-12-09",23,https://m.place.naver.com/restaurant/1554871507,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180303_139%2F1520051466289veN7e_JPEG%2FBrEl9Cgys2MY8JcvEz58_N3U.jpg
빵드림,강원 고성군 간성읍 간성로 65-1 빵드림,"42","42820",128.467703,38.379212,강원,http://instagram.com/bbangdream,"010-2051-5296",무화과 식빵,"3000원","2019-12-09",24,https://m.place.naver.com/place/1197159859,"",,
호산빵집,강원 동해시 대동로 117,"42","42170",129.126871,37.482287,강원,"","033-521-5525",찹쌀도넛,"600원","2019-12-09",25,https://m.place.naver.com/place/1201020876,"매일 12:00 - 20:00 매주, 휴무공지",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171122_271%2F15113568882444iatT_PNG%2F5weL_K2vPyaSUGuRvwWDyvbi.png
메르시마마,강원 동해시 발한로 220-12 1층,"42","42170",129.109519,37.548993,강원,https://story.kakao.com/ch/laurent31944310/app,"033-535-4310",명란바게트,"5800원","2019-12-09",26,https://m.place.naver.com/place/986258977,목요일 11:00 - 19:00 (일월화수 휴무)|금요일 11:00 - 19:00 (일월화수 휴무)|토요일 11:00 - 19:00 (일월화수 휴무),,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190911_42%2F1568150525580Jkihu_JPEG%2Fb94QLCwg6wMrJLTbAarqZpXN.jpg
보뇌르베이커리,강원 동해시 중앙로 234,"42","42170",129.115096,37.521495,강원,"","033-534-1237",미니크로와상,"3000원","2019-12-09",27,https://m.place.naver.com/place/35188260,목요일 07:30 - 21:30 매주 월요일 휴무|금요일 07:30 - 21:30 매주 월요일 휴무|토요일 07:30 - 21:30 매주 월요일 휴무|일요일 07:30 - 21:30 매주 월요일 휴무|화요일 07:30 - 21:30 매주 월요일 휴무|수요일 07:30 - 21:30 매주 월요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191222_61%2F1577013327984ehGqD_JPEG%2FiCZbAVKWMgxi39rbB-18whKI.jpg
동화속베이커리&cafe,강원 동해시 평원6길 21 동화빌,"42","42170",129.116266,37.530197,강원,"","033-535-0455",이탈리아 크로켓,"1800원","2019-12-09",28,https://m.place.naver.com/place/13555861,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170109_121%2F1483944698291IFrDU_JPEG%2F186059558158.jpeg
문화제과,강원 삼척시 근덕면 교가길 14,"42","42230",129.226761,37.380249,강원,"","033-572-3100",꽈배기(1봉지),"5000원","2019-12-09",29,https://m.place.naver.com/place/1026571566,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191124_233%2F15745910632223uUuR_JPEG%2FToS7BT4aVkFcsHJ0BK--KWwo.jpeg.jpg
풍년제과,강원 삼척시 엑스포로 1 풍년제과,"42","42230",129.16362,37.440825,강원,"","033-572-1408",초코파이,"1700원","2019-12-09",30,"","",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA0MjZfMTIg%2FMDAxNTg3OTExNDkwMjE1.K3DTDDIf9tSCBAn3GcndinGhpMIMAnKjvK_AhO9PpGIg.AeOqulIsPPxx695l4AkXUwRns0Rrk8DHbhAiadUEsWQg.JPEG.hwc0605%2FP20191223_181033858_4780561C-23BC-48AB-8FDA-B00ED32DC09E.
지재근베이커리,강원 삼척시 청석로 79-16,"42","42230",129.177797,37.44847,강원,https://jijaegeunbakery.modoo.at,"033-573-4608",생크림 카스테라,"5500원","2019-12-09",31,https://m.place.naver.com/restaurant/1311264600,매일 09:00 - 21:00|일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180328_145%2F1522199528381h1Pbo_PNG%2FPHhjfvd9rraufBV3Uem3mi6c.png
연화 T&F,강원 속초시 관광로 348,"42","42210",128.540945,38.191724,강원,"","033-635-0995",연꿀빵,"10000원","2019-12-09",32,"","",,
뉴욕제과,강원 속초시 교동로 19,"42","42210",128.5794,38.201046,강원,"","033-632-8440",쵸코샌드,"1400원","2019-12-09",33,https://m.place.naver.com/restaurant/34761579,매일 10:00 - 01:00 연중무휴,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190810_263%2F1565412172781xgSu0_JPEG%2FD_tLT2dILRe6W2T8HUmUslIT.jpg
교동데니쉬,강원 속초시 교동로 74,"42","42210",128.577277,38.205561,강원,https://www.instagram.com/gyodongdanish/,"010-6393-0042",플레인 데니쉬 하프,"4900원","2019-12-09",34,https://m.place.naver.com/place/1994277963,매일 09:00 - 19:00 품절시 영업종료|일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190329_296%2F1553848512266lhwb5_JPEG%2Filbp7IbSkaz6AJmL0jxpvo7u.jpg
봉브레드,강원 속초시 동해대로 4344-1,"42","42210",128.568465,38.202937,강원,http://www.bongbread.com,"033-633-4826",연인의빵,"5500원","2019-12-09",35,https://m.place.naver.com/restaurant/30841879,목요일 휴무|금요일 08:30 - 20:00|토요일 08:30 - 20:00|일요일 휴무|월요일 08:30 - 20:00|화요일 08:30 - 20:00|수요일 08:30 - 20:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170717_86%2F15002740706288nEbX_JPEG%2FIMG_2885.
허니네,강원 속초시 만천길 10,"42","42210",128.574406,38.199025,강원,"","033-637-1101",크로아상,"","2019-12-09",36,https://m.place.naver.com/place/37323359,평일 09:00 - 22:30|주말 09:30 - 22:30,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAxMjdfMjA4%2FMDAxNjExNzQ3OTM1OTM3.Nf36TwgjYuK-BcSdJK9mQWA65VgzQ38j_q70u6j421gg.Rg3Wr7xv3UbmNtKjfih8muddclwGdidE9cEZZn3vdlEg.JPEG.gkaxod2101%2F20210127%25A3%25DF175231.jpg
설레다과자점,강원 속초시 선사로1길 30-10,"42","42210",128.589391,38.188401,강원,"","010-7189-8811",초코찹싸로니,"","2019-12-09",37,https://m.place.naver.com/restaurant/1986227430,"평일 10:00 - 17:00 토,일 휴무",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191022_212%2F1571720025104PqRCK_JPEG%2Fgnav4eAjoZXIx2TClIrj8KTX.jpg
설악산단풍빵,강원 속초시 수복로 191,"42","42210",128.587914,38.204968,강원,"","033-635-9701",단풍빵(10개입),"6000원","2019-12-09",38,https://m.place.naver.com/place/36952536,평일 09:00 - 19:00|주말 09:00 - 21:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAxMTNfMjY0%2FMDAxNjEwNTIxNzE2NDk4.08fhN27s5y3Zk7T8XmeMUTwmnE_bikRRjLCvM_78iKUg.vlLCVusDPmJMIkoozLKH197E4v_GlCPK8QAkILSqw_Ig.JPEG.s29470%2F1610521389067.jpg
한상기베이커리,강원 속초시 조양상가길 34,"42","42210",128.580571,38.189012,강원,"","033-633-3813",마늘바게트,"4500원","2019-12-09",39,https://m.place.naver.com/restaurant/1914400138,매일 06:30 - 23:30,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEwMDhfNDQg%2FMDAxNTcwNTI4NDQwMDQw.bA2BTjAXorDbbzudOerR5a_dGqsPKg2OAc3FUs3gF6gg.gMI6_RhgPGK2t-nKo3bKRvkQfhOi3f0HgSnCoj4x-zwg.JPEG.pumpkinmood%2FIMG_0654.jpg
티티팬,강원 속초시 중앙로108번길 5-1,"42","42210",128.588265,38.201714,강원,https://blog.naver.com/titipan,"033-638-2030",밀크식빵,"3900원","2019-12-09",40,https://m.place.naver.com/place/1281114239,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201013_124%2F1602567578018ijzH5_JPEG%2FLntxB08EMC7EoeP_3ZV7nqLk.jpg
아바이오징어빵,강원 속초시 중앙시장로6길 14,"42","42210",128.589559,38.205005,강원,https://abaiojingeoppang.modoo.at,"033-631-5528",고소한치즈,"2000원","2019-12-09",41,https://m.place.naver.com/restaurant/344799480,"2TV생생정보 938회, 19.11.13. 오징어빵|생방송아침이좋다 377회, 17.10.27. 오징어빵",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190917_15%2F15687156216911LPQ3_JPEG%2FoUS4xc02jViUpXR0WeMVaXXj.jpg
베이커리 가루,강원 속초시 청초호반로 208 1층 베이커리 가루,"42","42210",128.581361,38.197802,강원,http://garoo.kr,"033-636-7953",원준이엉덩이빵,"2500원","2019-12-09",42,https://m.place.naver.com/restaurant/1359683836,매일 08:00 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190621_27%2F1561090783946RcmVp_JPEG%2FJJBd5QYEJlc8MFrBp_vT05zn.JPG.jpg
함스베이커리,강원 양양군 강현면 물치1길 29,"42","42830",128.60759,38.154441,강원,"","033-673-0009",앙버터,"3500원","2019-12-09",43,https://m.place.naver.com/place/17999136,매일 06:00 - 24:00 연중무휴,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191207_251%2F1575686717822nyqML_JPEG%2FobC8TAR55390BehdIEfGat7n.jpg
오빵쇼,강원 양양군 양양읍 남문3길 11-5 1층,"42","42830",128.624033,38.075456,강원,http://www.instagram.com/au_pain_chaud,"033-672-9551",크루아상자망드,"4000원","2019-12-09",44,https://m.place.naver.com/restaurant/1644683451,매일 07:00 - 20:00 제품 소진시 마감이 앞당겨질 수 있습니다. 매주 화요일 휴무입니다.,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190514_257%2F1557823410611G7q40_JPEG%2FEhtlV0yzkjAC1bsbcMo8Sjro.JPG.jpg
침이고인다,강원 원주시 금불3길 34,"42","42130",127.931888,37.350224,강원,"","010-8969-1830",소보루밤식빵,"3900원","2019-12-09",45,https://m.place.naver.com/place/30809028,목요일 09:00 - 22:00|금요일 09:00 - 22:00|토요일 09:00 - 22:00|일요일 09:00 - 22:00|월요일 09:00 - 22:00|화요일 09:00 - 17:00|수요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160926_287%2F1474895498421tB945_JPEG%2F176876624158228_0.jpeg
네이키드베이커리,강원 원주시 남원로 441-14,"42","42130",127.939944,37.326196,강원,https://www.facebook.com/NBhoneypig/,"070-8869-2511",애플데니쉬,"3500원","2019-12-09",46,https://m.place.naver.com/restaurant/32625832,매일 07:30 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190106_160%2F1546751688465gbcRm_JPEG%2F49HJOusq_vf-hvW6M_UTo5Qx.jpg
충전당,강원 원주시 능라동길 78 휴먼팰리스 113호 충전당,"42","42130",127.929545,37.333156,강원,http://instagram.com/chungjeondang,"033-742-1822",마들렌,"1500원","2019-12-09",47,https://m.place.naver.com/restaurant/1382736624,목요일 11:30 - 21:30 일요일 휴무|금요일 11:30 - 21:30 일요일 휴무|토요일 11:30 - 21:30 일요일 휴무|월요일 11:30 - 21:30 일요일 휴무|화요일 11:30 - 21:30 일요일 휴무|수요일 11:30 - 21:30 일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190822_202%2F1566482620621GgwCT_JPEG%2F45FPBXpiwC7HpVl6kHzzFd3k.jpg
비베이커리,강원 원주시 단관초교길 12,"42","42130",127.96466,37.317763,강원,"","033-766-1304","","","2019-12-09",48,https://m.place.naver.com/place/19873522,평일 08:00 - 22:00|주말 10:00 - 20:00,,
세라비베이커리,강원 원주시 백간공원길 14,"42","42130",127.926731,37.349284,강원,"","033-734-0092",원주복숭아빵,"1500원","2019-12-09",49,https://m.place.naver.com/place/36263037,매일 09:00 - 21:00 매월 첫째 주 화요일 휴관,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_142%2F15565866447577lwy9_JPEG%2FlYxooDqHwUKg9DYQRtkLNXIm.jpg
르브레노,강원 원주시 봉산로 96-18,"42","42130",127.963169,37.343624,강원,"","070-4063-0095",크림치즈모찌빵,"2000원","2019-12-09",50,https://m.place.naver.com/restaurant/35258094,매일 10:00 - 22:30,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_202%2F14409899622927PCVo_JPEG%2F156657407462669_0.jpeg
빵굽는작은마을,강원 원주시 서원대로 396,"42","42130",127.948686,37.330796,강원,"","033-765-0455",통밀식빵,"4800원","2019-12-09",51,https://m.place.naver.com/restaurant/18404201,매일 08:00 - 22:00 연중무휴,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_21%2F1548764462814SSnNK_JPEG%2FXEkb61vTzZ8bLFpR-4cwE3uz.jpg
리쉬밀,강원 원주시 지정면 신지정로 199-5,"42","42130",127.874138,37.372993,강원,https://rishimill.modoo.at,"033-732-5511",식빵,"4200원","2019-12-09",52,https://m.place.naver.com/restaurant/1241092953,목요일 07:00 - 20:00|금요일 07:00 - 20:00|토요일 07:00 - 20:00|일요일 07:00 - 20:00|화요일 07:00 - 20:00|수요일 07:00 - 20:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190223_189%2F1550879997947vo9iO_PNG%2Fn5XTqR8QkS0_pD9hqHMUOXuv.png
